#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
93.312,"Child Development and, Surveillance, Research and Prevention",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/30/2015 5:00,11/23/2013 5:00
93.314,Early Hearing Detection and Intervention Information System (EHDI-IS) Surveillance Program,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/30/2015 5:00,11/23/2013 5:00
93.315,"Rare Disorders: Research, Surveillance, Health Promotion, and Education",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/30/2015 5:00,11/23/2013 5:00
93.317,Emerging Infections Programs,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/9/2015 5:00,2/22/2014 5:00
93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/10/2015 5:00,3/6/2014 5:00
93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,8/27/2014 5:01
93.336,Behavioral Risk Factor Surveillance System,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,5/15/2015 5:00,8/22/2014 5:00
93.339,Public Health Conference Support,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/20/2015 5:01,2/14/2011 7:20
93.424,NON-ACA/PPHF—Building Capacity of the Public Health System to Improve Population Health through National Nonprofit Organizations,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/10/2015 5:00,3/6/2014 5:00
93.507,PPHF National Public Health Improvement Initiative,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/7/2015 5:00,7/8/2010 8:49
93.520,Centers for Disease Control and Prevention –Affordable Care Act (ACA) – Communities Putting Prevention to Work,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/7/2015 5:00,7/21/2010 12:39
93.521,"The Affordable Care Act: Building Epidemiology, Laboratory, and Health Information Systems Capacity in the Epidemiology and Laboratory Capacity for Infectious Disease (ELC) and Emerging Infections Program (EIP) Cooperative Agreements; PPHF",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,7/30/2010 15:42
93.524,"Building Capacity of the Public Health System to Improve Population Health through National, Non-Profit Organizations- financed in part by Prevention and Public Health Funds (PPHF)",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/10/2015 5:00,7/21/2010 12:42
93.535,Affordable Care Act (ACA) Childhood Obesity Research Demonstration,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,1/3/2011 7:35
93.538,Affordable Care Act - National Environmental Public Health Tracking Program-Network Implementation,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,2/14/2011 7:20
93.539,PPHF Capacity Building Assistance to Strengthen Public Health Immunization Infrastructure and Performance financed in part by Prevention and Public Health Funds,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,3/29/2011 10:39
93.540,Affordable Care Act Streamlined surveillance for ventilator-associated pneumonia: Reducing burden and demonstrating preventability; and Prevention and Public Health Fund,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/7/2015 5:00,3/29/2011 10:39
93.541,The Patient Protection and Affordable Care Act of 2010 (ACA),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/7/2015 5:00,4/15/2011 10:21
93.548,"PPHF: State Nutrition, Physical Activity, and Obesity Programs - financed in part by PPHF",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,8/19/2011 5:00
93.606,Affordable Care Act - Preparedness and Emergency Response Learning Centers,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/27/2015 5:02,8/28/2011 5:00
93.649,Nutrition and Physical Activity Programs,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/30/2015 5:00,7/30/2015 5:00
93.723,"ARRA - Prevention and Wellness-State, Territories and Pacific Islands",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,9/11/2009 8:43
93.733,Capacity Building Assistance to Strengthen Public Health Immunization Infrastructure and Performance – financed in part by the Prevention and Public Health Fund (PPHF),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,4/28/2012 5:00
93.735,State Public Health Approaches for Ensuring Quitline Capacity – Funded in part by Prevention and Public Health Funds (PPHF),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,4/23/2012 10:25
93.737,PPHF: Community Transformation Grants -Small Communities Program financed solely by Public Prevention and Health Funds,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/7/2015 5:00,5/18/2012 5:00
93.743,Racial and Ethnic Approaches to Community Health: Obesity and Hypertension Demonstration Projects financed solely by Prevention and Public Health Funds,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/7/2015 5:00,6/9/2012 5:00
93.744,"PPHF: Breast and Cervical Cancer Screening Opportunities for States, Tribes and Territories solely financed by Prevention and Public Health Funds",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/31/2015 5:00,6/15/2012 5:00
93.745,PPHF: Health Care Surveillance/Health Statistics – Surveillance Program Announcement: Behavioral Risk Factor Surveillance System Financed in Part by Prevention and Public Health Fund,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,6/29/2012 5:00
93.751,PPHF: Consortium for Tobacco Use Cessation Technical Assistance financed by solely by Prevention and Public Health Funds,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/21/2015 5:00,5/19/2013 5:00
93.752,"Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations financed in part by Prevention and Public Health Funds",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/31/2015 5:00,3/15/2014 5:00
93.755,Surveillance for Diseases Among Immigrants and Refugees financed in part by Prevention and Public Health Funds (PPHF),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,4/12/2014 5:00
93.756,Nutrition and Physical Activity Program funded solely by Prevention and Public Health  Funds (PPHF),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,4/10/2014 5:00
93.757,"State and Local Public Health Actions to Prevent Obesity, Diabetes, Heart Disease and Stroke (PPHF)",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,4/12/2014 5:00
93.800,Organized Approaches to Increase Colorectal Cancer Screening,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/31/2015 5:00,12/19/2014 5:00
93.808,Increasing the Implementation of Evidence-Based Cancer Survivorship Interventions to Increase Quality and Duration of Life Among Cancer Patients,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/21/2015 5:00,12/19/2014 5:00
93.810,Paul Coverdell National Acute Stroke Program National Center for Chronic Disease Prevention and Health Promotion,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/10/2015 5:00,3/8/2015 5:00
93.813,"Heart Disease & Stroke Prevention Program and Diabetes Prevention – State and Local Public Health Actions to Prevent Obesity, Diabetes, and Heart Disease and Stroke",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,1/21/2015 5:00
93.815,Domestic Ebola Supplement to the Epidemiology and Laboratory Capacity for Infectious Diseases (ELC).,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/21/2015 5:00,1/25/2015 5:00
93.823,"Ebola Support:  Transmission and Prevention Control, Public Health Preparedness, Vaccine Development",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/21/2015 5:00,3/20/2015 5:00
93.827,Educating State-level Stakeholders on Strategies to Address Winnable Battles in Public Health,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,5/15/2015 5:00,5/15/2015 5:00
93.845,Promoting Population Health through Increased Capacity in Alcohol Epidemiology,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/29/2015 5:00,7/29/2015 5:00
93.852,National Syndromic Surveillance Program Community of Practice (NSSP CoP),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/26/2015 5:00,7/26/2015 5:00
93.861,Strengthening the Public Health System in US-affiliated Pacific Islands (PPHF),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/28/2015 5:01,8/28/2015 5:01
93.874,Strengthening the Public Health System in US-affiliated Pacific Islands (Non-PPHF),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,1/23/2016 5:00,1/23/2016 5:00
93.875,Assistance for Oral Disease Prevention and Control,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,2/6/2016 5:00,2/6/2016 5:00
93.919,Cooperative Agreements for State-Based Comprehensive Breast and Cervical Cancer Early Detection Programs,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,7/31/2015 5:00,1/1/1991 0:00
93.940,HIV Prevention Activities_Health Department Based,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/20/2015 5:01,1/1/1992 0:00
93.941,"HIV Demonstration, Research, Public and Professional Education Projects",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/20/2015 5:01,1/1/1922 0:00
93.943,Epidemiologic Research Studies of Acquired Immunodeficiency Syndrome (AIDS) and Human Immunodeficiency Virus (HIV) Infection in Selected Population Groups,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/20/2015 5:01,1/1/1992 0:00
93.944,Human Immunodeficiency Virus (HIV)/Acquired Immunodeficiency Virus Syndrome (AIDS) Surveillance,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/20/2015 5:01,1/1/1992 0:00
93.945,Assistance Programs for Chronic Disease Prevention and Control,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,1/1/1992 0:00
93.946,Cooperative Agreements to Support State-Based Safe Motherhood and Infant Health Initiative Programs,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/27/2015 5:01,1/1/1992 0:00
93.947,"Tuberculosis Demonstration, Research, Public and Professional Education",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/27/2015 5:02,1/1/1992 0:00
93.988,Cooperative Agreements for State-Based Diabetes Control Programs and Evaluation of Surveillance Systems,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,6/5/2015 5:00,1/1/1990 0:00
93.998,"Autism and Other Developmental Disabilities, Surveillance, Research, and Prevention",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements,8/27/2015 5:02,
93.525,State Planning and Establishment Grants for the Affordable Care Act (ACA)’s Exchanges,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Cooperative Agreements,6/27/2015 5:00,7/28/2010 19:51
